time(ms),altitude(m),accel_y(m/s^2),bmpVel(m/s),imu_vel(m/s),imualt(m)
10.0,0.0,25.226,0,0,0
20.0,0.01,95.345,0.9,0.953,0.01
30.0,0.03,165.579,1.9,2.609,0.04
40.0,0.07,201.135,3.8,4.62,0.09
50.0,0.13,201.754,5.6,6.638,0.16
60.0,0.2,202.37,7.5,8.662,0.25
70.0,0.3,202.982,10.4,10.692,0.36
80.0,0.42,203.587,12.4,12.728,0.49
90.0,0.56,204.19,14.4,14.77,0.64
100.0,0.72,204.79,16.4,16.818,0.81
110.0,0.91,205.384,18.5,18.872,1.0
120.0,1.11,205.977,19.6,20.932,1.21
130.0,1.33,206.567,21.8,22.998,1.44
140.0,1.57,207.152,24.1,25.07,1.69
150.0,1.83,207.737,26.4,27.147,1.96
160.0,2.12,208.319,28.9,29.23,2.25
170.0,2.42,208.898,30.4,31.319,2.56
180.0,2.73,209.454,31.3,33.414,2.89
188.0,3.04,209.977,39.0,35.094,3.17
200.0,3.48,210.63,36.833,37.622,3.62
211.0,3.9,211.254,37.818,39.946,4.06
221.0,4.29,211.808,38.7,42.064,4.48
231.0,4.73,212.376,43.7,44.188,4.92
240.0,5.17,212.932,48.556,46.104,5.33
250.0,5.61,213.461,43.7,48.239,5.81
259.0,6.05,213.968,48.778,50.165,6.26
267.0,6.49,214.46,55.375,51.881,6.68
276.0,6.94,214.936,50.111,53.815,7.16
284.0,7.39,215.398,56.5,55.538,7.6
292.0,7.85,215.849,57.125,57.265,8.06
300.0,8.31,216.291,57.25,58.995,8.53
308.0,8.77,216.73,57.875,60.729,9.02
315.0,9.25,217.161,68.0,62.249,9.46
323.0,9.72,217.586,59.375,63.99,9.97
330.0,10.21,218.007,70.286,65.516,10.43
338.0,10.71,218.421,62.0,67.263,10.97
345.0,11.21,218.828,71.286,68.795,11.45
353.0,11.72,219.23,63.75,70.549,12.01
360.0,12.24,219.625,74.286,72.086,12.51
367.0,12.77,220.016,75.571,73.626,13.03
374.0,13.31,220.4,76.714,75.169,13.56
381.0,13.86,220.78,77.857,76.714,14.1
389.0,14.41,221.157,69.125,78.483,14.73
396.0,14.98,221.53,81.714,80.034,15.29
403.0,15.56,221.895,83.143,81.587,15.86
410.0,16.15,222.257,84.857,83.143,16.44
417.0,16.76,222.614,86.714,84.701,17.03
424.0,17.37,222.966,87.571,86.262,17.63
432.0,18.0,223.31,79.0,88.048,18.33
439.0,18.64,223.648,92.143,89.614,18.96
446.0,19.3,223.98,94.429,91.182,19.6
453.0,19.97,224.305,96.0,92.752,20.25
461.0,20.66,224.619,86.125,94.549,21.01
468.0,21.36,224.924,100.143,96.123,21.68
475.0,22.08,225.221,102.714,97.7,22.36
483.0,22.81,225.507,91.75,99.504,23.16
490.0,23.57,225.779,108.0,101.084,23.87
498.0,24.34,226.038,95.75,102.892,24.69
506.0,25.12,226.278,98.125,104.702,25.53
513.0,25.93,226.5,116.286,106.287,26.27
521.0,26.76,226.702,104.25,108.101,27.13
529.0,27.61,226.885,106.875,109.916,28.01
537.0,28.49,227.051,109.75,111.732,28.9
545.0,29.38,227.197,111.75,113.55,29.81
553.0,30.3,227.321,115.5,115.369,30.73
561.0,31.25,227.432,118.5,117.188,31.67
569.0,32.22,227.525,120.75,119.008,32.62
577.0,33.21,227.601,123.625,120.829,33.59
585.0,34.23,227.661,127.25,122.65,34.57
594.0,35.27,227.711,116.0,124.699,35.69
602.0,36.35,227.755,134.625,126.521,36.7
611.0,37.45,227.791,122.111,128.571,37.86
620.0,38.58,227.829,125.667,130.621,39.04
629.0,39.74,227.877,129.111,132.672,40.23
638.0,40.94,227.941,132.778,134.723,41.44
647.0,42.16,228.026,135.667,136.775,42.67
656.0,43.42,228.156,139.889,138.828,43.92
665.0,44.71,228.336,143.556,140.883,45.19
674.0,46.04,228.56,147.667,142.94,46.48
684.0,47.4,228.838,136.2,145.228,47.93
693.0,48.8,229.177,155.667,147.291,49.26
703.0,50.24,229.569,143.9,149.587,50.76
713.0,51.7,230.008,145.7,151.887,52.28
722.0,53.19,230.51,165.111,153.962,53.67
732.0,54.73,231.078,154.1,156.273,55.23
742.0,56.34,231.714,161.1,158.59,56.82
753.0,58.0,232.419,150.727,161.147,58.59
763.0,59.71,233.187,170.6,163.479,60.22
774.0,61.46,233.982,159.364,166.053,62.05
785.0,63.27,234.787,164.818,168.636,63.9
796.0,65.14,235.581,170.0,171.227,65.78
807.0,67.07,236.326,175.273,173.827,67.69
818.0,69.06,237.028,181.364,176.434,69.63
830.0,71.14,237.694,173.333,179.286,71.78
842.0,73.3,238.318,179.75,182.146,73.97
854.0,75.54,238.894,186.833,185.013,76.19
866.0,77.85,239.416,192.333,187.886,78.44
877.0,79.78,239.808,175.636,190.524,80.54
886.0,81.53,240.111,194.667,192.685,82.27
894.0,83.18,240.359,206.125,194.608,83.83
902.0,84.77,240.568,198.875,196.533,85.4
910.0,86.34,240.742,196.25,198.459,86.99
918.0,87.91,240.888,196.75,200.386,88.59
926.0,89.53,241.008,202.0,202.314,90.21
935.0,91.21,241.103,186.667,204.484,92.05
943.0,93.02,241.162,226.125,206.413,93.7
953.0,95.04,241.178,202.4,208.825,95.79
965.0,97.47,241.122,202.417,211.718,98.33
981.0,100.9,240.915,214.188,215.573,101.78
999.0,104.92,240.545,223.333,219.903,105.74
1019.0,109.42,240.049,224.75,224.704,110.23
1031.0,112.08,239.805,221.333,227.582,112.96
1040.0,114.15,239.654,229.778,229.739,115.03
1048.0,115.98,239.57,229.125,231.656,116.88
1055.0,117.69,239.534,245.0,233.333,118.51
1062.0,119.34,239.544,236.286,235.01,120.16
1069.0,120.97,239.602,233.286,236.687,121.82
1076.0,122.61,239.709,235.0,238.365,123.49
1083.0,124.32,239.864,243.714,240.044,125.17
1091.0,126.13,240.068,225.75,241.965,127.11
1099.0,128.13,240.33,250.375,243.888,129.06
1109.0,130.51,240.678,238.2,246.295,131.52
1122.0,133.78,241.142,251.615,249.43,134.76
1142.0,138.76,241.692,249.15,254.264,139.85
1164.0,144.56,241.988,263.818,259.588,145.56
1173.0,146.81,242.034,249.556,261.766,147.92
1180.0,148.75,241.999,277.0,263.46,149.76
1187.0,150.55,241.933,257.286,265.154,151.62
1194.0,152.29,241.843,248.714,266.847,153.49
1200.0,154.03,241.73,289.167,268.297,155.1
1207.0,155.81,241.592,253.857,269.988,156.99
1214.0,157.69,241.418,268.286,271.678,158.89
1221.0,159.76,241.193,296.143,273.366,160.8
1230.0,162.22,240.881,272.778,275.534,163.28
1242.0,165.57,240.37,279.167,278.418,166.62
1260.0,170.55,239.522,276.444,282.729,171.71
1274.0,174.61,238.775,290.286,286.072,175.72
1285.0,177.58,238.231,269.727,288.693,178.9
1293.0,179.87,237.83,286.5,290.596,181.22
1300.0,181.94,237.489,295.286,292.258,183.27
1306.0,183.92,237.136,329.833,293.681,185.03
1313.0,185.88,236.805,280.286,295.339,187.1
1320.0,187.91,236.486,289.714,296.994,189.18
1327.0,190.09,236.155,312.143,298.647,191.27
1335.0,192.27,235.831,273.0,300.534,193.67
1341.0,194.32,235.522,342.5,301.947,195.48
1348.0,196.26,235.375,277.571,303.595,197.61
1357.0,199.19,235.455,325.333,305.714,200.36
1368.0,202.37,235.525,289.455,308.305,203.75
1377.0,205.21,235.549,315.556,310.425,206.54
1386.0,207.92,235.534,301.111,312.545,209.35
1393.0,210.21,235.487,327.286,314.193,211.55
1399.0,212.27,235.423,343.167,315.606,213.44
1406.0,214.25,235.345,282.571,317.253,215.66
1412.0,216.24,235.246,331.5,318.664,217.57
1419.0,218.34,235.112,300.571,320.31,219.81
1426.0,220.71,234.928,338.143,321.954,222.06
1434.0,223.19,234.691,309.875,323.832,224.65
1441.0,225.65,234.415,351.143,325.473,226.93
1449.0,228.09,234.101,304.375,327.346,229.55
1456.0,230.5,233.721,344.714,328.982,231.85
1463.0,232.91,233.322,344.429,330.615,234.16
1470.0,235.31,232.938,342.714,332.246,236.49
1478.0,237.69,232.587,297.75,334.107,239.16
1484.0,239.85,232.31,359.333,335.501,241.17
1490.0,241.86,231.819,335.167,336.892,243.19
1496.0,243.85,231.208,331.833,338.279,245.22
1502.0,245.92,230.619,345.667,339.663,247.26
1509.0,248.22,230.015,328.286,341.273,249.65
1516.0,250.53,229.439,330.143,342.879,252.05
1522.0,252.84,229.051,384.333,344.253,254.12
1529.0,255.13,228.659,327.571,345.854,256.54
1536.0,257.42,228.25,327.429,347.452,258.97
1542.0,259.7,227.815,379.667,348.819,261.06
1549.0,261.96,227.461,323.429,350.411,263.51
1555.0,264.22,227.1,377.0,351.774,265.62
1561.0,266.48,226.707,377.0,353.134,267.74
1568.0,268.74,226.292,323.143,354.718,270.22
1574.0,271.0,225.866,376.667,356.073,272.36
1580.0,273.25,225.573,375.833,357.426,274.5
1587.0,275.5,225.273,322.143,359.003,277.01
1593.0,277.75,224.965,375.167,360.353,279.17
1599.0,279.99,224.647,373.5,361.701,281.34
1605.0,282.23,224.391,372.667,363.047,283.52
1611.0,284.44,224.235,368.667,364.392,285.71
1617.0,286.63,224.076,365.5,365.736,287.9
1623.0,288.81,223.915,362.667,367.079,290.1
1629.0,290.97,223.75,359.5,368.421,292.31
1635.0,293.12,223.603,358.167,369.763,294.53
1641.0,295.26,223.509,357.0,371.104,296.76
1647.0,297.4,223.417,356.333,372.445,298.99
1652.0,299.53,223.328,425.8,373.562,300.86
1658.0,301.65,223.24,353.667,374.901,303.11
1664.0,303.77,223.14,352.833,376.24,305.37
1669.0,305.88,223.107,421.0,377.356,307.26
1675.0,307.98,223.057,349.333,378.694,309.53
1680.0,310.07,222.992,417.8,379.809,311.43
1686.0,312.14,222.914,344.833,381.146,313.72
1691.0,314.19,222.827,410.0,382.26,315.63
1696.0,316.23,222.78,407.0,383.374,317.55
1702.0,318.25,222.763,336.167,384.711,319.86
1707.0,320.26,222.753,402.2,385.825,321.79
1712.0,322.27,222.763,401.4,386.939,323.72
1717.0,324.27,222.793,399.2,388.053,325.66
1722.0,326.26,222.847,398.0,389.167,327.61
1727.0,328.25,222.96,397.4,390.282,329.56
1732.0,330.23,223.099,395.6,391.397,331.52
1737.0,332.2,223.255,394.4,392.513,333.48
1742.0,334.17,223.423,393.8,393.63,335.45
1747.0,336.12,223.595,391.0,394.748,337.42
1752.0,338.06,223.744,387.4,395.867,339.4
1757.0,339.97,223.888,382.0,396.986,341.38
1762.0,341.87,224.035,380.2,398.106,343.37
1767.0,343.76,224.183,378.2,399.227,345.37
1771.0,345.64,224.331,470.0,400.124,346.97
1776.0,347.51,224.474,373.8,401.246,348.98
1781.0,349.37,224.612,372.0,402.369,350.99
1785.0,351.22,224.746,463.0,403.268,352.6
1790.0,353.07,224.873,369.2,404.392,354.62
1794.0,354.9,224.993,458.0,405.292,356.24
1799.0,356.73,225.104,365.8,406.418,358.27
1803.0,358.55,225.232,454.5,407.319,359.9
1808.0,360.35,225.356,360.0,408.446,361.94
1812.0,362.13,225.47,445.75,409.348,363.58
1816.0,363.89,225.556,439.5,410.25,365.22
1821.0,365.62,225.633,345.6,411.378,367.28
1825.0,367.33,225.706,426.75,412.281,368.93
1829.0,369.02,225.776,422.0,413.184,370.58
1833.0,370.69,225.846,418.5,414.087,372.24
1837.0,372.36,225.916,416.75,414.991,373.9
1841.0,374.01,225.991,411.75,415.895,375.56
1845.0,375.65,226.043,409.0,416.799,377.23
1849.0,377.27,226.095,406.0,417.703,378.9
1853.0,378.89,226.16,405.5,418.608,380.57
1856.0,380.5,226.235,536.0,419.287,381.83
1860.0,382.09,226.318,398.5,420.192,383.51
1864.0,383.68,226.406,397.0,421.098,385.19
1868.0,385.25,226.498,392.75,422.004,386.88
1871.0,386.81,226.59,520.333,422.684,388.15
1875.0,388.36,226.635,386.25,423.591,389.84
1879.0,389.88,226.683,378.75,424.498,391.54
1882.0,391.37,226.731,497.333,425.178,392.82
1886.0,392.85,226.78,369.75,426.085,394.52
1889.0,394.31,226.828,486.333,426.765,395.8
